year,season,area,ssb
1952,1,1,864510
1953,1,1,893330
1954,1,1,899120
1955,1,1,876830
1956,1,1,867250
1957,1,1,937060
1958,1,1,997370
1959,1,1,1055200
1960,1,1,1085700
1961,1,1,1026200
1962,1,1,893450
1963,1,1,797280
1964,1,1,757600
1965,1,1,766010
1966,1,1,832580
1967,1,1,776790
1968,1,1,750000
1969,1,1,741350
1970,1,1,734950
1971,1,1,739420
1972,1,1,767660
1973,1,1,718890
1974,1,1,651620
1975,1,1,658980
1976,1,1,625880
1977,1,1,655920
1978,1,1,711150
1979,1,1,725700
1980,1,1,651010
1981,1,1,592530
1982,1,1,584030
1983,1,1,649520
1984,1,1,655310
1985,1,1,622730
1986,1,1,586490
1987,1,1,655540
1988,1,1,702120
1989,1,1,727820
1990,1,1,753740
1991,1,1,706820
1992,1,1,679550
1993,1,1,674550
1994,1,1,654680
1995,1,1,601450
1996,1,1,569620
1997,1,1,533000
1998,1,1,537770
1999,1,1,519670
2000,1,1,552720
2001,1,1,536480
2002,1,1,528460
2003,1,1,528960
2004,1,1,535960
2005,1,1,505320
2006,1,1,495360
2007,1,1,450390
2008,1,1,451980
2009,1,1,484460
2010,1,1,481510
2011,1,1,461160
2012,1,1,459360
2013,1,1,477490
2014,1,1,500710
2015,1,1,526890
2016,1,1,539920
2017,1,1,540210
2018,1,1,523080
2019,1,1,489560
2020,1,1,496750
2021,1,1,510440
1952,2,1,853870
1953,2,1,876130
1954,2,1,879180
1955,2,1,848480
1956,2,1,869480
1957,2,1,929660
1958,2,1,1002900
1959,2,1,1045400
1960,2,1,1068700
1961,2,1,981510
1962,2,1,849890
1963,2,1,772900
1964,2,1,746590
1965,2,1,765740
1966,2,1,821460
1967,2,1,750310
1968,2,1,745800
1969,2,1,731910
1970,2,1,728330
1971,2,1,745780
1972,2,1,765820
1973,2,1,699870
1974,2,1,644740
1975,2,1,654510
1976,2,1,619370
1977,2,1,675800
1978,2,1,723990
1979,2,1,714970
1980,2,1,631610
1981,2,1,586170
1982,2,1,593490
1983,2,1,669940
1984,2,1,658390
1985,2,1,618620
1986,2,1,599610
1987,2,1,686940
1988,2,1,718300
1989,2,1,755100
1990,2,1,766010
1991,2,1,710980
1992,2,1,702370
1993,2,1,695190
1994,2,1,669150
1995,2,1,613720
1996,2,1,584160
1997,2,1,545900
1998,2,1,558630
1999,2,1,541330
2000,2,1,581430
2001,2,1,550270
2002,2,1,548070
2003,2,1,553090
2004,2,1,553880
2005,2,1,519130
2006,2,1,509170
2007,2,1,458620
2008,2,1,474980
2009,2,1,501260
2010,2,1,488740
2011,2,1,471930
2012,2,1,480110
2013,2,1,500750
2014,2,1,526890
2015,2,1,552030
2016,2,1,563050
2017,2,1,557560
2018,2,1,533710
2019,2,1,501150
2020,2,1,518610
2021,2,1,517960
1952,3,1,582580
1953,3,1,597150
1954,3,1,595930
1955,3,1,571150
1956,3,1,606140
1957,3,1,644590
1958,3,1,699900
1959,3,1,723930
1960,3,1,725670
1961,3,1,652010
1962,3,1,568030
1963,3,1,522930
1964,3,1,513290
1965,3,1,538380
1966,3,1,554710
1967,3,1,509300
1968,3,1,514860
1969,3,1,505110
1970,3,1,503970
1971,3,1,523220
1972,3,1,527610
1973,3,1,472440
1974,3,1,444350
1975,3,1,446910
1976,3,1,434280
1977,3,1,481550
1978,3,1,509640
1979,3,1,480330
1980,3,1,421330
1981,3,1,402380
1982,3,1,428350
1983,3,1,475380
1984,3,1,459210
1985,3,1,423400
1986,3,1,432570
1987,3,1,495310
1988,3,1,510590
1989,3,1,544550
1990,3,1,538520
1991,3,1,500790
1992,3,1,506160
1993,3,1,501020
1994,3,1,474510
1995,3,1,437480
1996,3,1,415400
1997,3,1,392860
1998,3,1,399220
1999,3,1,398550
2000,3,1,417960
2001,3,1,394780
2002,3,1,395720
2003,3,1,404410
2004,3,1,394040
2005,3,1,373320
2006,3,1,358680
2007,3,1,328760
2008,3,1,346680
2009,3,1,357230
2010,3,1,342810
2011,3,1,337630
2012,3,1,351420
2013,3,1,364630
2014,3,1,384710
2015,3,1,401200
2016,3,1,407260
2017,3,1,400350
2018,3,1,375530
2019,3,1,358670
2020,3,1,374600
2021,3,1,367390
1952,4,1,770290
1953,4,1,778590
1954,4,1,769140
1955,4,1,744180
1956,4,1,805510
1957,4,1,841290
1958,4,1,894250
1959,4,1,919450
1960,4,1,899840
1961,4,1,796040
1962,4,1,702200
1963,4,1,658520
1964,4,1,656120
1965,4,1,701740
1966,4,1,690010
1967,4,1,650770
1968,4,1,655380
1969,4,1,645900
1970,4,1,646900
1971,4,1,678540
1972,4,1,652730
1973,4,1,578730
1974,4,1,561230
1975,4,1,548720
1976,4,1,553290
1977,4,1,617120
1978,4,1,644320
1979,4,1,588990
1980,4,1,526700
1981,4,1,513310
1982,4,1,565600
1983,4,1,595510
1984,4,1,571420
1985,4,1,527680
1986,4,1,566990
1987,4,1,632930
1988,4,1,649900
1989,4,1,682810
1990,4,1,646690
1991,4,1,606620
1992,4,1,611470
1993,4,1,599230
1994,4,1,557330
1995,4,1,523460
1996,4,1,497410
1997,4,1,486190
1998,4,1,479350
1999,4,1,493710
2000,4,1,491580
2001,4,1,469030
2002,4,1,471510
2003,4,1,484700
2004,4,1,463580
2005,4,1,447590
2006,4,1,416280
2007,4,1,395820
2008,4,1,420760
2009,4,1,422420
2010,4,1,405650
2011,4,1,406610
2012,4,1,423170
2013,4,1,440530
2014,4,1,467280
2015,4,1,487210
2016,4,1,492870
2017,4,1,481500
2018,4,1,444920
2019,4,1,440550
2020,4,1,465220
2021,4,1,457590
1952,1,2,1376500
1953,1,2,1503700
1954,1,2,1487400
1955,1,2,1423800
1956,1,2,1399200
1957,1,2,1523700
1958,1,2,1708900
1959,1,2,1841600
1960,1,2,1911600
1961,1,2,1762700
1962,1,2,1480500
1963,1,2,1309300
1964,1,2,1243300
1965,1,2,1286900
1966,1,2,1407300
1967,1,2,1233600
1968,1,2,1133700
1969,1,2,1050100
1970,1,2,1031500
1971,1,2,976470
1972,1,2,974100
1973,1,2,943940
1974,1,2,948870
1975,1,2,1070000
1976,1,2,971290
1977,1,2,931990
1978,1,2,898710
1979,1,2,937120
1980,1,2,874080
1981,1,2,818750
1982,1,2,748670
1983,1,2,672330
1984,1,2,656600
1985,1,2,627170
1986,1,2,631440
1987,1,2,670240
1988,1,2,641120
1989,1,2,687330
1990,1,2,682190
1991,1,2,698190
1992,1,2,656570
1993,1,2,546500
1994,1,2,506130
1995,1,2,464120
1996,1,2,412370
1997,1,2,353090
1998,1,2,395370
1999,1,2,384590
2000,1,2,379890
2001,1,2,471070
2002,1,2,512620
2003,1,2,459070
2004,1,2,417550
2005,1,2,406260
2006,1,2,397020
2007,1,2,395350
2008,1,2,460800
2009,1,2,550150
2010,1,2,596820
2011,1,2,534390
2012,1,2,435230
2013,1,2,417530
2014,1,2,458430
2015,1,2,445710
2016,1,2,403360
2017,1,2,391120
2018,1,2,434120
2019,1,2,445360
2020,1,2,430860
2021,1,2,402970
1952,2,2,1410100
1953,2,2,1396100
1954,2,2,1374200
1955,2,2,1298700
1956,2,2,1333200
1957,2,2,1445600
1958,2,2,1644200
1959,2,2,1725900
1960,2,2,1773700
1961,2,2,1581300
1962,2,2,1317900
1963,2,2,1196000
1964,2,2,1163400
1965,2,2,1223800
1966,2,2,1292000
1967,2,2,1108700
1968,2,2,1038300
1969,2,2,959670
1970,2,2,953790
1971,2,2,900850
1972,2,2,896850
1973,2,2,872490
1974,2,2,902900
1975,2,2,997060
1976,2,2,882050
1977,2,2,856130
1978,2,2,841680
1979,2,2,864700
1980,2,2,797450
1981,2,2,750170
1982,2,2,669770
1983,2,2,615870
1984,2,2,605090
1985,2,2,572770
1986,2,2,597710
1987,2,2,612470
1988,2,2,600760
1989,2,2,635940
1990,2,2,639720
1991,2,2,643090
1992,2,2,583520
1993,2,2,490520
1994,2,2,457890
1995,2,2,418260
1996,2,2,363980
1997,2,2,325820
1998,2,2,371230
1999,2,2,344610
2000,2,2,365950
2001,2,2,456910
2002,2,2,467490
2003,2,2,410610
2004,2,2,385280
2005,2,2,372080
2006,2,2,362620
2007,2,2,374830
2008,2,2,447250
2009,2,2,525460
2010,2,2,551600
2011,2,2,468060
2012,2,2,389410
2013,2,2,395100
2014,2,2,425040
2015,2,2,405120
2016,2,2,364610
2017,2,2,372250
2018,2,2,402420
2019,2,2,413330
2020,2,2,392490
2021,2,2,356840
1952,3,2,1447800
1953,3,2,1432100
1954,3,2,1398600
1955,3,2,1314200
1956,3,2,1402200
1957,3,2,1528000
1958,3,2,1739800
1959,3,2,1806000
1960,3,2,1802500
1961,3,2,1566700
1962,3,2,1314800
1963,3,2,1212000
1964,3,2,1210800
1965,3,2,1303900
1966,3,2,1289200
1967,3,2,1113900
1968,3,2,1045900
1969,3,2,977540
1970,3,2,963080
1971,3,2,922940
1972,3,2,907420
1973,3,2,893020
1974,3,2,964580
1975,3,2,1002600
1976,3,2,899750
1977,3,2,865540
1978,3,2,874470
1979,3,2,868390
1980,3,2,801990
1981,3,2,753870
1982,3,2,660830
1983,3,2,621510
1984,3,2,606800
1985,3,2,578350
1986,3,2,620560
1987,3,2,608810
1988,3,2,622530
1989,3,2,638830
1990,3,2,658180
1991,3,2,643080
1992,3,2,569220
1993,3,2,489620
1994,3,2,453320
1995,3,2,409740
1996,3,2,347580
1997,3,2,336570
1998,3,2,375570
1999,3,2,341500
2000,3,2,394240
2001,3,2,482620
2002,3,2,465930
2003,3,2,403560
2004,3,2,393140
2005,3,2,376970
2006,3,2,365920
2007,3,2,398410
2008,3,2,481740
2009,3,2,557240
2010,3,2,557280
2011,3,2,455280
2012,3,2,391890
2013,3,2,415650
2014,3,2,433040
2015,3,2,402670
2016,3,2,363920
2017,3,2,391120
2018,3,2,413910
2019,3,2,419600
2020,3,2,391970
2021,3,2,344650
1952,4,2,1543100
1953,4,2,1532000
1954,4,2,1483500
1955,4,2,1409900
1956,4,2,1534400
1957,4,2,1695400
1958,4,2,1885400
1959,4,2,1954000
1960,4,2,1874200
1961,4,2,1599500
1962,4,2,1373900
1963,4,2,1284200
1964,4,2,1308200
1965,4,2,1434100
1966,4,2,1320700
1967,4,2,1173900
1968,4,2,1094200
1969,4,2,1048400
1970,4,2,1009100
1971,4,2,990800
1972,4,2,965200
1973,4,2,959330
1974,4,2,1074200
1975,4,2,1034700
1976,4,2,958490
1977,4,2,913730
1978,4,2,947110
1979,4,2,908730
1980,4,2,846000
1981,4,2,787720
1982,4,2,688720
1983,4,2,662020
1984,4,2,640540
1985,4,2,628170
1986,4,2,674660
1987,4,2,642460
1988,4,2,682230
1989,4,2,679480
1990,4,2,706350
1991,4,2,676710
1992,4,2,576150
1993,4,2,516020
1994,4,2,475020
1995,4,2,425780
1996,4,2,360470
1997,4,2,379160
1998,4,2,396030
1999,4,2,367640
2000,4,2,448400
2001,4,2,522840
2002,4,2,480920
2003,4,2,421780
2004,4,2,416210
2005,4,2,401900
2006,4,2,393000
2007,4,2,447290
2008,4,2,539810
2009,4,2,607070
2010,4,2,573680
2011,4,2,461170
2012,4,2,414230
2013,4,2,452790
2014,4,2,454680
2015,4,2,415500
2016,4,2,385630
2017,4,2,424720
2018,4,2,446400
2019,4,2,442480
2020,4,2,411230
2021,4,2,358000
1952,1,3,607320
1953,1,3,534550
1954,1,3,567500
1955,1,3,570750
1956,1,3,543360
1957,1,3,590600
1958,1,3,590480
1959,1,3,534100
1960,1,3,521460
1961,1,3,532900
1962,1,3,469490
1963,1,3,448700
1964,1,3,443960
1965,1,3,423120
1966,1,3,424430
1967,1,3,399720
1968,1,3,369660
1969,1,3,360570
1970,1,3,350760
1971,1,3,346050
1972,1,3,381700
1973,1,3,371160
1974,1,3,351160
1975,1,3,346910
1976,1,3,310710
1977,1,3,276280
1978,1,3,294090
1979,1,3,323660
1980,1,3,311340
1981,1,3,293030
1982,1,3,284310
1983,1,3,270800
1984,1,3,274940
1985,1,3,298860
1986,1,3,294460
1987,1,3,296930
1988,1,3,315840
1989,1,3,315020
1990,1,3,281040
1991,1,3,253830
1992,1,3,225960
1993,1,3,217230
1994,1,3,200960
1995,1,3,221260
1996,1,3,231200
1997,1,3,243230
1998,1,3,223030
1999,1,3,195980
2000,1,3,176670
2001,1,3,169630
2002,1,3,155790
2003,1,3,169840
2004,1,3,163230
2005,1,3,163400
2006,1,3,163420
2007,1,3,172800
2008,1,3,181730
2009,1,3,179960
2010,1,3,170060
2011,1,3,146660
2012,1,3,141580
2013,1,3,121320
2014,1,3,114140
2015,1,3,123680
2016,1,3,149260
2017,1,3,147450
2018,1,3,145350
2019,1,3,152150
2020,1,3,169610
2021,1,3,174960
1952,2,3,607570
1953,2,3,699760
1954,2,3,721250
1955,2,3,706790
1956,2,3,701040
1957,2,3,754950
1958,2,3,734500
1959,2,3,677590
1960,2,3,691370
1961,2,3,667990
1962,2,3,581650
1963,2,3,570730
1964,2,3,554930
1965,2,3,537370
1966,2,3,548120
1967,2,3,506230
1968,2,3,478140
1969,2,3,467610
1970,2,3,451340
1971,2,3,465490
1972,2,3,493190
1973,2,3,463010
1974,2,3,442130
1975,2,3,434800
1976,2,3,381570
1977,2,3,362580
1978,2,3,399710
1979,2,3,421320
1980,2,3,394740
1981,2,3,377440
1982,2,3,361630
1983,2,3,353780
1984,2,3,363740
1985,2,3,385790
1986,2,3,367130
1987,2,3,389080
1988,2,3,405280
1989,2,3,393580
1990,2,3,362930
1991,2,3,306490
1992,2,3,289580
1993,2,3,268090
1994,2,3,258940
1995,2,3,274960
1996,2,3,287200
1997,2,3,289460
1998,2,3,266570
1999,2,3,233790
2000,2,3,219790
2001,2,3,213640
2002,2,3,203540
2003,2,3,204140
2004,2,3,211560
2005,2,3,204070
2006,2,3,208080
2007,2,3,216120
2008,2,3,227920
2009,2,3,224690
2010,2,3,210230
2011,2,3,197670
2012,2,3,183220
2013,2,3,163180
2014,2,3,162770
2015,2,3,178830
2016,2,3,201680
2017,2,3,195390
2018,2,3,196700
2019,2,3,201350
2020,2,3,217160
2021,2,3,240330
1952,3,3,580260
1953,3,3,661310
1954,3,3,678420
1955,3,3,652400
